TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6
445.0,W,1240,302.0,150.0,visa,195.0,credit
3.0810000000000004,C,14076,545.0,185.0,visa,147.0,credit
20.0,S,12866,303.0,150.0,visa,226.0,debit
100.0,H,3682,264.0,150.0,visa,162.0,credit
59.0,W,1662,111.0,150.0,visa,195.0,debit
6.767,C,13832,375.0,185.0,mastercard,224.0,debit
554.0,W,1955,383.0,150.0,visa,226.0,debit
27.793000000000003,C,15885,545.0,185.0,visa,138.0,debit
68.5,W,4806,490.0,150.0,visa,226.0,debit
36.95,W,18132,567.0,150.0,mastercard,117.0,debit
280.0,W,3278,453.0,150.0,visa,226.0,debit
300.0,W,14858,558.0,150.0,visa,226.0,debit
28.699,C,4504,500.0,185.0,mastercard,219.0,credit
60.0,W,7207,111.0,150.0,visa,226.0,debit
104.95,W,17188,321.0,150.0,visa,226.0,debit
280.0,W,15066,170.0,150.0,mastercard,102.0,credit
411.95,W,14695,396.0,150.0,mastercard,224.0,credit
125.67399999999999,C,5583,103.0,185.0,visa,226.0,credit
42.596000000000004,C,15885,545.0,185.0,visa,138.0,debit
44.5,W,11815,206.0,150.0,mastercard,166.0,debit
88.95,W,1549,143.0,150.0,visa,226.0,debit
140.0,W,18095,243.0,150.0,visa,226.0,debit
318.95,W,17188,321.0,150.0,visa,226.0,debit
77.821,C,15885,545.0,185.0,visa,138.0,debit
107.0,W,14165,111.0,150.0,mastercard,224.0,debit
117.0,W,6481,111.0,150.0,visa,226.0,debit
50.0,H,5220,360.0,150.0,visa,226.0,credit
527.0,W,5409,170.0,150.0,visa,226.0,credit
59.0,W,2538,476.0,150.0,visa,166.0,debit
108.5,W,15121,555.0,150.0,visa,226.0,debit
21.5,W,2581,199.0,150.0,mastercard,202.0,debit
159.0,W,6459,100.0,150.0,mastercard,224.0,credit
75.0,R,1214,174.0,150.0,visa,226.0,credit
100.0,H,16659,170.0,150.0,visa,226.0,credit
25.0,H,4523,423.0,150.0,visa,226.0,debit
42.95,W,4186,446.0,150.0,visa,226.0,debit
47.95,W,18370,547.0,150.0,visa,226.0,debit
100.0,H,16659,170.0,150.0,visa,226.0,credit
5.075,C,15885,545.0,185.0,visa,138.0,debit
92.0,W,12733,555.0,150.0,visa,226.0,debit
226.0,W,9500,321.0,150.0,visa,226.0,debit
150.0,H,9515,492.0,150.0,visa,226.0,debit
107.95,W,2704,111.0,150.0,mastercard,117.0,debit
1153.95,W,1214,523.0,150.0,visa,226.0,credit
18.186,C,13832,375.0,185.0,mastercard,224.0,debit
210.95,W,15497,490.0,150.0,visa,226.0,debit
11.782,C,15885,545.0,185.0,visa,138.0,debit
4.433,C,12184,440.0,185.0,visa,138.0,debit
75.0,W,11465,360.0,150.0,visa,166.0,debit
34.0,W,10520,543.0,150.0,mastercard,224.0,debit
200.0,W,9803,583.0,150.0,visa,226.0,credit
11.782,C,15885,545.0,185.0,visa,138.0,debit
100.0,H,2456,399.0,150.0,american express,118.0,credit
59.0,W,9749,528.0,150.0,visa,226.0,credit
50.0,H,1804,161.0,150.0,mastercard,117.0,debit
80.0,W,9500,321.0,150.0,visa,226.0,debit
59.0,W,6550,362.5554884999665,150.0,visa,226.0,debit
58.95,W,12873,535.0,150.0,visa,226.0,debit
50.0,H,1804,161.0,150.0,mastercard,117.0,debit
87.95,W,11279,354.0,143.0,visa,226.0,debit
107.95,W,2704,111.0,150.0,mastercard,117.0,debit
57.95,W,4106,543.0,150.0,mastercard,224.0,debit
50.0,W,8394,490.0,150.0,visa,226.0,debit
70.933,C,13329,569.0,117.0,visa,226.0,credit
444.61,W,18227,583.0,150.0,visa,226.0,credit
757.07,W,8684,117.0,150.0,visa,226.0,debit
2594.95,W,14349,170.0,150.0,mastercard,195.0,credit
117.0,W,8406,264.0,150.0,visa,226.0,debit
3000.0,W,2616,362.5554884999665,150.0,discover,102.0,credit
30.0,W,2392,360.0,150.0,mastercard,166.0,debit
56.95,W,1675,174.0,150.0,visa,226.0,debit
100.0,H,16075,514.0,150.0,mastercard,102.0,credit
129.299,C,9026,545.0,185.0,visa,137.0,credit
208.43,W,9992,455.0,150.0,mastercard,166.0,debit
200.0,R,8194,325.0,150.0,visa,195.0,debit
23.805999999999997,C,15885,545.0,185.0,visa,138.0,debit
100.0,W,1764,158.0,150.0,visa,226.0,debit
200.0,R,8194,325.0,150.0,visa,195.0,debit
100.0,R,8260,399.0,150.0,american express,150.0,credit
23.805999999999997,C,15885,545.0,185.0,visa,138.0,debit
25.95,W,11279,354.0,143.0,visa,226.0,debit
30.0,H,14858,558.0,150.0,visa,226.0,debit
43.95,W,12873,535.0,150.0,visa,226.0,debit
117.0,W,12695,490.0,150.0,visa,226.0,debit
49.0,W,12577,268.0,150.0,visa,166.0,debit
587.82,W,14349,170.0,150.0,mastercard,195.0,credit
29.0,W,14165,111.0,150.0,mastercard,224.0,debit
35.95,W,14605,528.0,150.0,visa,226.0,debit
479.95,W,6053,122.0,150.0,mastercard,195.0,debit
50.0,R,3334,583.0,150.0,visa,226.0,credit
30.0,W,14025,479.0,150.0,visa,226.0,debit
171.0,W,10023,111.0,150.0,visa,226.0,debit
92.95,W,17188,321.0,150.0,visa,226.0,debit
29.0,W,8431,269.0,150.0,mastercard,224.0,debit
107.95,W,9500,321.0,150.0,visa,226.0,debit
100.0,W,15651,417.0,150.0,visa,226.0,debit
973.95,W,17188,321.0,150.0,visa,226.0,debit
34.0,W,13641,111.0,150.0,visa,226.0,debit
39.0,W,1974,111.0,150.0,visa,226.0,debit
26.5,W,11919,170.0,150.0,mastercard,224.0,debit
100.0,H,6019,583.0,150.0,visa,226.0,credit
36.95,W,15497,490.0,150.0,visa,226.0,debit
100.0,W,6951,111.0,150.0,visa,226.0,debit
20.0,W,10989,360.0,150.0,visa,166.0,debit
34.0,W,3570,512.0,150.0,visa,226.0,debit
159.95,W,7063,170.0,150.0,mastercard,102.0,credit
25.0,H,4436,174.0,150.0,visa,183.0,debit
107.95,W,9500,321.0,150.0,visa,226.0,debit
117.0,W,18227,583.0,150.0,visa,226.0,credit
39.0,W,15066,170.0,150.0,mastercard,102.0,credit
306.47,W,16132,111.0,150.0,visa,226.0,debit
445.0,W,14290,512.0,150.0,visa,226.0,debit
424.95,W,15497,490.0,150.0,visa,226.0,debit
83.95,W,4348,147.0,150.0,visa,195.0,debit
171.0,W,16632,215.0,150.0,mastercard,166.0,debit
311.95,W,15497,490.0,150.0,visa,226.0,debit
200.0,H,10047,111.0,150.0,visa,226.0,credit
112.99,W,7508,321.0,150.0,visa,226.0,debit
359.91,W,6209,480.0,150.0,mastercard,219.0,credit
117.0,W,3278,453.0,150.0,visa,226.0,debit
50.0,W,16930,265.0,150.0,visa,226.0,debit
12.0,S,12866,303.0,150.0,visa,226.0,debit
57.398999999999994,C,8755,500.0,185.0,mastercard,224.0,credit
32.325,C,5458,266.0,185.0,mastercard,224.0,credit
26.5,W,13886,388.0,150.0,visa,226.0,debit
5.982,C,3154,408.0,185.0,mastercard,224.0,debit
28.699,C,4504,500.0,185.0,mastercard,219.0,credit
1486.44,W,11556,309.0,150.0,visa,226.0,debit
59.0,W,17400,174.0,150.0,visa,226.0,debit
8.641,C,2115,415.0,185.0,mastercard,195.0,credit
66.0,H,7826,481.0,150.0,mastercard,224.0,debit
15.0,H,2884,490.0,150.0,visa,226.0,debit
19.455,C,15885,545.0,185.0,visa,138.0,debit
34.0,W,12577,268.0,150.0,visa,166.0,debit
2547.46,W,11106,100.0,150.0,visa,226.0,credit
47.95,W,5254,414.0,143.0,visa,226.0,debit
445.0,W,18268,583.0,150.0,visa,226.0,credit
47.95,W,13366,437.0,150.0,visa,226.0,debit
28.699,C,1085,500.0,185.0,mastercard,219.0,credit
39.0,W,6621,555.0,150.0,visa,226.0,debit
25.0,H,6019,583.0,150.0,visa,226.0,credit
120.95,W,5433,555.0,150.0,visa,166.0,debit
21.993000000000002,C,10876,104.0,185.0,visa,137.0,credit
2948.95,W,15451,555.0,150.0,visa,226.0,credit
15.0,H,6019,583.0,150.0,visa,226.0,credit
117.0,W,2560,562.0,150.0,visa,162.0,credit
499.95,W,6957,362.5554884999665,150.0,visa,166.0,debit
99.0,W,5033,269.0,150.0,mastercard,224.0,debit
209.95,W,9002,453.0,150.0,visa,226.0,debit
100.0,W,10057,225.0,150.0,mastercard,224.0,debit
15.0,W,14637,480.0,150.0,mastercard,171.0,debit
117.0,W,12469,360.0,150.0,mastercard,166.0,debit
50.0,W,10027,101.0,150.0,visa,226.0,debit
49.0,W,14290,512.0,150.0,visa,226.0,debit
68.5,W,12469,360.0,150.0,mastercard,166.0,debit
590.4,W,6832,134.0,150.0,visa,226.0,credit
54.0,W,2616,362.5554884999665,150.0,discover,102.0,credit
67.95,W,16075,514.0,150.0,mastercard,102.0,credit
43.0,W,9500,321.0,150.0,visa,226.0,debit
39.0,W,6755,586.0,150.0,mastercard,224.0,credit
1973.0,W,11839,490.0,150.0,visa,226.0,debit
75.0,W,7664,490.0,150.0,visa,226.0,debit
49.0,W,18249,360.0,150.0,mastercard,166.0,debit
107.95,W,6170,174.0,150.0,visa,226.0,debit
474.95,W,4591,215.0,150.0,visa,195.0,debit
25.95,W,14502,191.0,150.0,visa,226.0,debit
116.0,W,5033,269.0,150.0,mastercard,224.0,debit
150.5,W,16132,111.0,150.0,visa,226.0,debit
50.0,W,13734,491.0,150.0,visa,226.0,debit
30.0,H,10023,111.0,150.0,visa,226.0,debit
200.0,W,14290,512.0,150.0,visa,226.0,debit
226.0,W,17188,321.0,150.0,visa,226.0,debit
171.0,W,10616,583.0,150.0,visa,226.0,credit
37.098,C,13413,103.0,185.0,visa,137.0,credit
250.0,W,5567,583.0,150.0,visa,226.0,credit
24.95,W,2019,369.0,150.0,mastercard,224.0,debit
37.098,C,13413,103.0,185.0,visa,137.0,credit
15.0,W,9175,111.0,150.0,visa,226.0,debit
37.098,C,13413,103.0,185.0,visa,137.0,credit
50.0,W,17400,174.0,150.0,visa,226.0,debit
58.95,W,15757,322.0,150.0,visa,195.0,debit
50.0,H,11660,555.0,150.0,visa,226.0,credit
78.95,W,12544,321.0,150.0,visa,226.0,debit
289.95,W,7861,494.0,150.0,visa,226.0,credit
100.0,W,10057,225.0,150.0,mastercard,224.0,debit
48.638000000000005,C,2115,415.0,185.0,mastercard,195.0,credit
200.0,W,4184,532.0,150.0,mastercard,224.0,debit
54.5,W,17598,268.0,150.0,visa,166.0,debit
54.0,W,9500,321.0,150.0,visa,226.0,debit
108.95,W,9653,313.0,150.0,visa,226.0,debit
2038.95,W,18320,474.0,150.0,mastercard,195.0,debit
48.638000000000005,C,2115,415.0,185.0,mastercard,195.0,credit
42.596000000000004,C,16346,324.0,185.0,visa,226.0,credit
34.5,W,10882,543.0,150.0,mastercard,224.0,debit
59.0,W,10049,555.0,150.0,visa,226.0,debit
55.82899999999999,C,9300,103.0,185.0,visa,138.0,debit
385.78,W,15066,170.0,150.0,mastercard,102.0,credit
48.95,W,1804,161.0,150.0,mastercard,117.0,debit
50.0,H,17400,174.0,150.0,visa,226.0,debit
48.578,C,4461,375.0,185.0,mastercard,224.0,debit
29.0,W,12577,268.0,150.0,visa,166.0,debit
30.95,W,12839,321.0,150.0,visa,226.0,debit
25.0,W,4921,475.0,150.0,visa,226.0,debit
50.0,H,17400,174.0,150.0,visa,226.0,debit
50.0,R,9596,369.0,150.0,mastercard,224.0,debit
25.0,W,11204,298.0,150.0,visa,226.0,debit
200.0,H,15063,514.0,150.0,visa,226.0,credit
222.0,W,10112,360.0,150.0,visa,166.0,debit
25.0,H,1724,583.0,150.0,visa,226.0,credit
450.95,W,10486,514.0,150.0,mastercard,219.0,credit
30.0,W,3821,111.0,150.0,mastercard,219.0,credit
120.95,W,5433,555.0,150.0,visa,166.0,debit
59.0,W,10023,111.0,150.0,visa,226.0,debit
50.0,W,5653,429.0,150.0,visa,226.0,debit
30.0,S,5017,432.0,150.0,visa,226.0,debit
50.0,W,2884,490.0,150.0,visa,226.0,debit
57.95,W,5345,555.0,150.0,visa,226.0,debit
18.73,C,7698,545.0,185.0,visa,226.0,credit
34.0,W,10520,543.0,150.0,mastercard,224.0,debit
72.99,W,7585,553.0,150.0,visa,226.0,credit
25.014,C,7794,266.0,185.0,mastercard,102.0,credit
155.52100000000002,C,16578,545.0,185.0,visa,226.0,credit
107.95,W,15268,566.0,150.0,visa,226.0,credit
30.0,W,14280,555.0,150.0,visa,226.0,debit
26.5,W,3090,343.0,150.0,visa,166.0,debit
15.0,W,8691,599.0,150.0,visa,166.0,debit
117.0,W,17188,321.0,150.0,visa,226.0,debit
59.0,W,1675,174.0,150.0,visa,226.0,debit
112.0,W,6530,206.0,150.0,mastercard,166.0,debit
160.5,W,9803,583.0,150.0,visa,226.0,credit
200.0,W,2647,555.0,150.0,visa,226.0,debit
107.95,W,17868,148.0,150.0,visa,226.0,debit
72.99,W,15742,481.0,150.0,visa,226.0,credit
48.638000000000005,C,2115,415.0,185.0,mastercard,195.0,credit
20.905,C,9633,296.0,185.0,visa,138.0,debit
48.638000000000005,C,2115,415.0,185.0,mastercard,195.0,credit
1351.55,W,11106,100.0,150.0,visa,226.0,credit
554.0,W,8528,215.0,150.0,visa,226.0,debit
48.638000000000005,C,2115,415.0,185.0,mastercard,195.0,credit
20.0,W,12695,490.0,150.0,visa,226.0,debit
159.95,W,12581,453.0,150.0,visa,226.0,debit
25.95,W,5033,269.0,150.0,mastercard,224.0,debit
25.95,W,1974,111.0,150.0,visa,226.0,debit
105.0,W,7585,553.0,150.0,visa,226.0,credit
50.0,H,16984,399.0,150.0,american express,236.0,credit
25.0,W,10057,225.0,150.0,mastercard,224.0,debit
83.95,W,3682,264.0,150.0,visa,226.0,credit
54.0,W,16916,225.0,150.0,mastercard,224.0,debit
364.95,W,15813,251.0,150.0,visa,226.0,debit
19.576,C,15885,545.0,185.0,visa,138.0,debit
335.0,W,11410,310.0,150.0,mastercard,224.0,debit
39.0,W,14079,360.0,150.0,mastercard,166.0,debit
300.0,R,15063,514.0,150.0,visa,226.0,credit
82.95,W,7585,553.0,150.0,visa,226.0,credit
108.5,W,9485,111.0,150.0,visa,226.0,debit
219.95,W,11972,134.0,150.0,visa,226.0,credit
107.95,W,15986,360.0,150.0,mastercard,166.0,debit
412.73,W,10616,583.0,150.0,visa,226.0,credit
354.95,W,16326,321.0,150.0,visa,226.0,credit
107.95,W,9440,543.0,150.0,mastercard,224.0,debit
125.0,H,16659,170.0,150.0,visa,226.0,credit
16.857,C,3154,408.0,185.0,mastercard,224.0,debit
160.5,W,2392,360.0,150.0,mastercard,166.0,debit
25.0,W,12544,321.0,150.0,visa,226.0,debit
105.95,W,15232,555.0,150.0,visa,226.0,debit
100.0,R,9500,321.0,150.0,visa,226.0,debit
30.0,H,15497,490.0,150.0,visa,226.0,debit
524.0,W,2803,100.0,150.0,visa,226.0,debit
100.0,R,9500,321.0,150.0,visa,226.0,debit
100.0,R,9500,321.0,150.0,visa,226.0,debit
50.0,H,15497,490.0,150.0,visa,226.0,debit
100.0,R,9500,321.0,150.0,visa,226.0,debit
33.25,W,14042,225.0,150.0,mastercard,195.0,debit
157.95,W,17399,111.0,150.0,mastercard,224.0,debit
648.95,W,2803,100.0,150.0,visa,226.0,debit
335.0,W,6927,310.0,150.0,mastercard,117.0,debit
57.95,W,17399,111.0,150.0,mastercard,224.0,debit
117.0,W,1692,310.0,150.0,mastercard,224.0,debit
711.93,W,9561,242.0,150.0,visa,166.0,debit
107.95,W,10269,555.0,150.0,visa,226.0,debit
60.0,W,12839,321.0,150.0,visa,226.0,debit
59.0,W,10616,583.0,150.0,visa,226.0,credit
59.0,W,3178,490.0,150.0,visa,226.0,debit
26.5,W,3090,343.0,150.0,visa,166.0,debit
35.95,W,14079,360.0,150.0,mastercard,166.0,debit
26.947,C,10568,204.0,185.0,visa,226.0,credit
500.0,W,6741,583.0,150.0,visa,195.0,credit
58.0,W,2803,100.0,150.0,visa,226.0,debit
500.0,R,3869,399.0,150.0,american express,150.0,credit
209.95,W,9112,250.0,150.0,visa,226.0,debit
25.0,W,15205,270.0,150.0,visa,166.0,debit
59.0,W,11925,553.0,150.0,visa,226.0,debit
107.95,W,10269,555.0,150.0,visa,226.0,debit
226.0,W,2616,362.5554884999665,150.0,discover,102.0,credit
500.0,R,3869,399.0,150.0,american express,150.0,credit
462.95,W,10486,514.0,150.0,mastercard,219.0,credit
29.5,W,9500,321.0,150.0,visa,226.0,debit
161.0,W,11162,346.0,150.0,mastercard,224.0,debit
103.95,W,16065,543.0,150.0,mastercard,224.0,debit
20.0,S,16347,225.0,150.0,mastercard,224.0,debit
225.0,R,4425,562.0,150.0,mastercard,197.0,credit
7.372000000000001,C,8755,500.0,185.0,mastercard,224.0,credit
30.95,W,1832,480.0,150.0,mastercard,117.0,debit
160.5,W,9803,583.0,150.0,visa,226.0,credit
44.0,W,3084,555.0,150.0,visa,226.0,debit
70.0,W,7585,553.0,150.0,visa,226.0,credit
36.95,W,7005,111.0,150.0,visa,226.0,debit
500.0,R,3869,399.0,150.0,american express,150.0,credit
25.95,W,15989,362.5554884999665,150.0,visa,166.0,debit
30.0,H,5097,555.0,150.0,visa,162.0,credit
159.95,W,8088,316.0,150.0,visa,226.0,debit
29.0,W,10682,514.0,150.0,mastercard,224.0,debit
209.95,W,8691,599.0,150.0,visa,166.0,debit
28.639,C,15885,545.0,185.0,visa,138.0,debit
24.5,W,18249,360.0,150.0,mastercard,166.0,debit
27.5,W,2544,322.0,150.0,visa,226.0,credit
40.0,W,18132,567.0,150.0,mastercard,117.0,debit
57.821999999999996,C,10876,104.0,185.0,visa,137.0,credit
15.95,W,1832,480.0,150.0,mastercard,117.0,debit
43.019,C,7585,553.0,150.0,visa,226.0,credit
40.0,H,2803,100.0,150.0,visa,226.0,debit
22.97,W,15989,362.5554884999665,150.0,visa,166.0,debit
150.0,H,3821,111.0,150.0,mastercard,219.0,credit
20.0,H,3682,264.0,150.0,visa,162.0,credit
107.95,W,15497,490.0,150.0,visa,226.0,debit
50.0,W,8528,215.0,150.0,visa,226.0,debit
59.0,W,3189,555.0,150.0,visa,226.0,debit
344.95,W,17188,321.0,150.0,visa,226.0,debit
59.0,W,1894,194.0,150.0,mastercard,166.0,debit
240.95,W,6832,134.0,150.0,visa,226.0,credit
50.0,W,6872,587.0,150.0,visa,226.0,debit
15.468,C,4461,375.0,185.0,mastercard,224.0,debit
54.29,W,2803,100.0,150.0,visa,226.0,debit
129.95,W,4737,390.0,150.0,mastercard,224.0,debit
250.0,W,11652,135.0,150.0,visa,226.0,credit
49.0,W,8117,490.0,150.0,visa,226.0,debit
311.95,W,7585,553.0,150.0,visa,226.0,credit
50.0,H,5938,111.0,150.0,visa,162.0,credit
90.57,C,4504,500.0,185.0,mastercard,219.0,credit
50.0,H,16751,111.0,150.0,visa,226.0,debit
500.0,W,6741,583.0,150.0,visa,195.0,credit
50.0,H,16751,111.0,150.0,visa,226.0,debit
210.95,W,17188,321.0,150.0,visa,226.0,debit
54.5,W,13528,536.0,150.0,visa,226.0,debit
40.0,W,2392,360.0,150.0,mastercard,166.0,debit
35.044000000000004,C,5812,408.0,185.0,mastercard,224.0,debit
47.95,W,7664,490.0,150.0,visa,226.0,debit
34.95,W,12850,170.0,150.0,visa,195.0,credit
60.0,W,7585,553.0,150.0,visa,226.0,credit
35.0,H,11920,583.0,150.0,visa,226.0,credit
315.0,W,4557,555.0,150.0,visa,226.0,credit
49.0,W,2392,360.0,150.0,mastercard,166.0,debit
25.0,W,10150,480.0,150.0,mastercard,117.0,debit
200.0,W,4310,254.0,150.0,visa,226.0,debit
107.95,W,17188,321.0,150.0,visa,226.0,debit
39.0,W,15497,490.0,150.0,visa,226.0,debit
29.95,W,10267,555.0,150.0,visa,166.0,debit
1472.47,W,3278,453.0,150.0,visa,226.0,debit
30.0,H,15066,170.0,150.0,mastercard,102.0,credit
226.0,W,15813,251.0,150.0,visa,226.0,debit
100.0,W,15773,226.0,150.0,mastercard,102.0,credit
222.48,W,15066,170.0,150.0,mastercard,102.0,credit
7.492999999999999,C,9300,103.0,185.0,visa,138.0,debit
53.95,W,1906,199.0,150.0,mastercard,224.0,debit
164.95,W,15066,170.0,150.0,mastercard,102.0,credit
57.95,W,12686,215.0,150.0,visa,226.0,debit
100.0,R,17364,399.0,150.0,american express,150.0,credit
50.0,H,4097,321.0,150.0,visa,226.0,debit
25.0,H,10616,583.0,150.0,visa,226.0,credit
100.0,W,15063,362.5554884999665,150.0,visa,226.0,credit
100.0,H,6019,583.0,150.0,visa,226.0,credit
12.325999999999999,C,15885,545.0,185.0,visa,138.0,debit
66.885,C,12730,266.0,185.0,mastercard,224.0,credit
100.0,W,10486,514.0,150.0,mastercard,219.0,credit
107.95,W,14858,558.0,150.0,visa,226.0,debit
3162.95,W,1893,514.0,150.0,mastercard,224.0,credit
32.325,C,5046,555.0,185.0,visa,226.0,credit
2267.47,W,11207,361.0,150.0,visa,226.0,debit
30.0,W,16661,490.0,150.0,visa,226.0,debit
50.0,R,13249,111.0,150.0,visa,226.0,debit
59.0,W,12219,362.5554884999665,150.0,visa,166.0,debit
24.0,W,8320,476.0,150.0,visa,166.0,debit
200.0,H,5734,361.0,150.0,visa,226.0,debit
15.0,W,6550,362.5554884999665,150.0,visa,226.0,debit
59.0,W,6344,327.0,150.0,discover,166.0,debit
68.95,W,2803,100.0,150.0,visa,226.0,debit
30.0,W,7511,555.0,150.0,visa,226.0,debit
59.0,W,11157,215.0,150.0,visa,226.0,debit
150.0,H,7508,321.0,150.0,visa,226.0,debit
7.251,C,4461,375.0,185.0,mastercard,224.0,debit
50.0,H,3682,264.0,150.0,visa,162.0,credit
3162.95,W,1893,514.0,150.0,mastercard,224.0,credit
43.97,W,6019,583.0,150.0,visa,226.0,credit
88.0,W,14858,558.0,150.0,visa,226.0,debit
7.0,S,10616,583.0,150.0,visa,226.0,credit
150.0,H,7508,321.0,150.0,visa,226.0,debit
100.0,H,6004,420.0,150.0,mastercard,117.0,debit
146.0,W,2336,260.0,150.0,visa,226.0,debit
16.313,C,15885,545.0,185.0,visa,138.0,debit
50.0,R,2803,100.0,150.0,visa,226.0,debit
75.0,H,3682,264.0,150.0,visa,162.0,credit
200.0,W,1214,523.0,150.0,visa,226.0,credit
40.0,S,15066,170.0,150.0,mastercard,102.0,credit
58.95,W,10960,567.0,150.0,mastercard,117.0,debit
30.95,W,18132,567.0,150.0,mastercard,117.0,debit
140.0,W,13481,199.0,150.0,mastercard,224.0,debit
58.95,W,17131,111.0,150.0,mastercard,224.0,debit
82.95,W,2845,543.0,150.0,mastercard,117.0,debit
67.95,W,15066,170.0,150.0,mastercard,102.0,credit
37.763000000000005,C,7585,553.0,150.0,visa,226.0,credit
100.0,W,3570,512.0,150.0,visa,226.0,debit
335.0,W,11199,481.0,150.0,mastercard,102.0,credit
57.95,W,12839,321.0,150.0,visa,226.0,debit
59.0,W,10486,514.0,150.0,mastercard,219.0,credit
109.0,W,16075,514.0,150.0,mastercard,102.0,credit
25.0,H,16873,343.0,150.0,visa,226.0,credit
68.95,W,2803,100.0,150.0,visa,226.0,debit
31.95,W,11207,361.0,150.0,visa,226.0,debit
25.0,H,18092,583.0,150.0,visa,226.0,credit
20.0,W,2392,360.0,150.0,mastercard,166.0,debit
59.0,W,12598,111.0,150.0,visa,166.0,debit
15.105,C,15885,545.0,185.0,visa,138.0,debit
8.7,C,3154,408.0,185.0,mastercard,224.0,debit
100.0,H,6019,583.0,150.0,visa,226.0,credit
150.0,W,14035,555.0,150.0,visa,226.0,debit
350.23,W,5613,413.0,150.0,visa,166.0,debit
200.0,W,16132,111.0,150.0,visa,226.0,debit
303.95,W,14823,362.5554884999665,150.0,visa,166.0,debit
250.0,W,8394,490.0,150.0,visa,226.0,debit
107.95,W,17129,321.0,150.0,visa,226.0,debit
39.0,W,12686,215.0,150.0,visa,226.0,debit
100.0,W,7377,555.0,150.0,mastercard,117.0,debit
9.425,C,5812,408.0,185.0,mastercard,224.0,debit
